"Brand","Platform","Content Type","Title/Hook","Caption","Payment Link","Telegram Link","Image Asset"
"Lasavo School","Instagram Reel","Reel 1","24/7 Avatar Teacher Demo","Welcome to Lasavo School! Every student gets an interactive 24/7 Avatar Teacher tailored to their learning speed. 💳 Monthly Pass (₹999/mo / $15/mo): https://rzp.io/l/lasavo-student-monthly #LasavoSchool #EdTech","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 2","Parent TMS Analytics Dashboard","Stay connected with your child's academic growth! Real-time subject mastery, quiz scores, and study time tracking. 💳 Parent TMS Pass (₹1,499/mo): https://rzp.io/l/lasavo-parent-tms #Parenting #EdTech","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
"Lasavo School","Instagram Reel","Reel 3","3D Physics Simulation Lab","Simulating gravity, momentum, and friction in interactive 3D! 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #STEM #Physics","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 4","Coding for Kids & Teens","Interactive Python & JavaScript coding modules with instant feedback. 💳 Annual Pass (₹7,999/yr / $99/yr): https://rzp.io/l/lasavo-student-annual #Coding #STEM","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 5","Adaptive Pacing Engine","Slow down for algebra, speed up for history. Personalized learning speed for every student. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #EdTech","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 6","0 Homework Arguments","How Lasavo School eliminated homework stress in modern households. 💳 Parent TMS Pass (₹1,499/mo): https://rzp.io/l/lasavo-parent-tms #ParentingTips","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
"Lasavo School","Instagram Reel","Reel 7","3D Cell Anatomy Model","Rotating 3D cell and DNA structure visualization for biology students. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #Biology #STEM","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 8","Bilingual Language Lab","Practice Spanish, French, and English pronunciation with real-time audio analysis. 💳 Annual Pass (₹7,999/yr): https://rzp.io/l/lasavo-student-annual #LanguageLearning","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 9","Math Anxiety Solution","Step-by-step calculus & geometry problem breakdowns with gamified rewards. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #MathTutor","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 10","Daily Student Summary Email","What parents receive every evening at 7 PM to stay informed on learning progress. 💳 Parent TMS Pass (₹1,499/mo): https://rzp.io/l/lasavo-parent-tms #ParentTMS","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
"Lasavo School","Instagram Reel","Reel 11","Interactive Chemistry Lab","Mix virtual chemical elements and observe reactions without lab hazards. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #Chemistry","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 12","SAT & Exam Prep Track","Simulated timed exam practice with personalized weakness diagnostic reports. 💳 Annual Pass (₹7,999/yr): https://rzp.io/l/lasavo-student-annual #ExamPrep","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 13","Vocational Skills Track","Intro to digital marketing, web dev, and robotics for secondary students. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #FutureSkills","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 14","Gamified STEM Badges","Earn digital certificates and badges for completing advanced STEM modules. 💳 Annual Pass (₹7,999/yr): https://rzp.io/l/lasavo-student-annual #STEMBadges","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","Reel 15","Teacher Classroom Integration","How physical school educators use Lasavo School to complement classroom teaching. 💳 Enterprise Pass: https://rzp.io/l/lasavo-parent-tms #Educators","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
"Lasavo School","Instagram Reel","Reel 16","History 3D Time Machine","Walk through ancient Rome and historical landmarks in 3D. 💳 Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly #History","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
