"Brand","Platform","Content Type","Title/Hook","Caption","Media URL","Payment Link","Telegram Link"
"Astrolas","Instagram Reel","Reel 1","Can your name bring wealth?","Did you know your name carries a hidden vibrational frequency? 🔮 At Astrolas, we combine ancient Chaldean Numerology with the Lo Shu Grid to reveal your true destiny. 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter #Astrolas #ChaldeanNumerology","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 2","Hast Rekha Scanner live","Try the Astrolas Hast Rekha Scanner live! ✋✨ Scan your palm with your smartphone camera for instant life line, career timing, and health analysis. 🎁 Palmistry Package: ₹1,499 ($25). 💳 Quick Pay: https://rzp.io/l/astrolas-palmistry #HastRekha #Palmistry","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 3","Lo Shu Center Grid","Missing number 5 or 6 in your grid? Learn remedial crystal and name spelling corrections to maximize financial luck. 💳 Premium Reading (₹1,499 / $25): https://rzp.io/l/astrolas-premium #LoShuGrid #Numerology","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-premium","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 4","Life Path 8 Power","Born on 8, 17, or 26? Discover your leadership potential and career authority transits. 💳 Life Path Report (₹999 / $15): https://rzp.io/l/astrolas-lifepath #LifePath8 #Astrology","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-lifepath","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 5","Venus Wealth Transit","Venus enters favorable transit aspect this month! Check your Kundli alignment and auspicious timing. 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter #Zodiac #Astrology","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 6","Thumb Flexibility Test","Flexible vs Stiff Thumb: What your thumb angle reveals about your adaptability and financial mindset! 💳 Palmistry Report (₹1,499 / $25): https://rzp.io/l/astrolas-palmistry #Palmistry #HastRekha","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 7","Name Correction Case Study","How changing 1 letter in a brand name unlocked 3x sales growth! Sound vibration and Chaldean frequency matters. 💳 Premium Reading (₹1,499 / $25): https://rzp.io/l/astrolas-premium #Chaldean","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-premium","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 8","Jupiter Growth Aspects","Jupiter in the 2nd house of wealth! Calculate your optimal investment dates. 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter #AstrologyReading","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 9","Love & Compatibility Matrix","Match your life path numbers with your partner for deeper relationship harmony. 💳 Combo Reading (₹1,499 / $25): https://rzp.io/l/astrolas-combo #NumerologyCompatibility","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-combo","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 10","Heart Line Deep Dive","Curved vs straight Heart Line in palmistry: Emotional expression & romantic alignment. 💳 Palmistry Scanner (₹1,499 / $25): https://rzp.io/l/astrolas-palmistry #Palmistry","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 11","Life Path 1 Leadership","Life Path 1 traits, lucky colors, and career alignment secrets. 💳 Life Path Report (₹999 / $15): https://rzp.io/l/astrolas-lifepath #LifePath1","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-lifepath","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 12","Fate Line Double Branch","Dual career paths and side-hustle timing shown in palmistry! 💳 Palmistry Scan (₹1,499 / $25): https://rzp.io/l/astrolas-palmistry #HastRekha","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 13","Numerology Number 3 Creativity","Communicators, artists, and creators: Tune your name harmony today! 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter #Numerology3","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 14","Mercury Retrograde Guide","How to navigate Mercury retrograde and pick auspicious contract signing dates. ✈️ Join Telegram: https://t.me/AstrolasCosmic #Astrology","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 15","Sun Sign vs Life Path Number","Which one governs your daily decisions? Understand your dual astrological profile. 💳 Premium Reading (₹1,499 / $25): https://rzp.io/l/astrolas-premium #Zodiac","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-premium","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 16","Mount of Saturn Ridge Analysis","Discipline, career longevity, and karma indicators on the palm. 💳 Palmistry Scanner (₹1,499 / $25): https://rzp.io/l/astrolas-palmistry #Palmistry","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic"
"Astrolas","Instagram Reel","Reel 17","Name Number 5 Expansion","Why number 5 is the code of rapid business expansion and public visibility. 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter #Numerology5","https://picsum.photos/id/1015/1080/1920.jpg","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic"
