"Brand","Platform","Content Type","Title/Hook","Caption","Payment Link","Telegram Link","Image Asset"
"Astrolas","Instagram Reel","Reel 1","Can your name bring wealth?","Did you know your name carries a hidden vibrational frequency? At Astrolas, we combine ancient Chaldean Numerology with the Lo Shu Grid to reveal your true destiny. 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter #Astrolas #ChaldeanNumerology","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","Reel 2","Hast Rekha Scanner live","Try the Astrolas Hast Rekha Scanner live! Scan your palm with your smartphone camera for instant life line, career timing, and health analysis. 🎁 Palmistry Package: ₹1,499 ($25). 💳 Quick Pay: https://rzp.io/l/astrolas-palmistry #HastRekha #Palmistry","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic","astrolas_palmistry_scanner.jpg"
"Astrolas","Instagram Reel","Reel 3","Lo Shu Center Grid","Missing number 5 or 6 in your grid? Learn remedial crystal and name spelling corrections to maximize financial luck. 💳 Premium Reading (₹1,499 / $25): https://rzp.io/l/astrolas-premium #LoShuGrid #Numerology","https://rzp.io/l/astrolas-premium","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","Reel 4","Life Path 8 Power","Born on 8, 17, or 26? Discover your leadership potential and career authority transits. 💳 Life Path Report (₹999 / $15): https://rzp.io/l/astrolas-lifepath #LifePath8 #Astrology","https://rzp.io/l/astrolas-lifepath","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","Reel 5","Venus Wealth Transit","Venus enters favorable transit aspect this month! Check your Kundli alignment and auspicious timing. 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter #Zodiac #Astrology","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","Reel 6","Thumb Flexibility Test","Flexible vs Stiff Thumb: What your thumb angle reveals about your adaptability and financial mindset! 💳 Palmistry Report (₹1,499 / $25): https://rzp.io/l/astrolas-palmistry #Palmistry #HastRekha","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic","astrolas_palmistry_scanner.jpg"
"Astrolas","Instagram Reel","Reel 7","Name Correction Case Study","How changing 1 letter in a brand name unlocked 3x sales growth! Sound vibration and Chaldean frequency matters. 💳 Premium Reading (₹1,499 / $25): https://rzp.io/l/astrolas-premium #Chaldean","https://rzp.io/l/astrolas-premium","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","Reel 8","Jupiter Growth Aspects","Jupiter in the 2nd house of wealth! Calculate your optimal investment dates. 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter #AstrologyReading","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","Reel 9","Love & Compatibility Matrix","Match your life path numbers with your partner for deeper relationship harmony. 💳 Combo Reading (₹1,499 / $25): https://rzp.io/l/astrolas-combo #NumerologyCompatibility","https://rzp.io/l/astrolas-combo","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","Reel 10","Heart Line Deep Dive","Curved vs straight Heart Line in palmistry: Emotional expression & romantic alignment. 💳 Palmistry Scanner (₹1,499 / $25): https://rzp.io/l/astrolas-palmistry #Palmistry","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic","astrolas_palmistry_scanner.jpg"
