Brand,Platform,Content Type,Title/Hook,Caption,Payment Link,Telegram Link,Image Asset
Lasavo School,Instagram Reel,School Reel 1,CBSE Class 10 & 12 Board Exam Secrets,"Master CBSE board exam prep with 24/7 AI tutors! Instant 3D step-by-step math derivations & physics formulas. 💳 Annual Pass (₹2,999/yr): https://rzp.io/l/lasavo-school-annual Telegram: https://t.me/LasavoSchool #CBSEBoardExams #Class10 #Class12 #LasavoSchool #EdTech",https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_cbse_icse_ai.jpg
Lasavo School,Instagram Reel,School Reel 2,Ace ICSE Class 10 Board Exams with AI Tutors,"Crack ICSE Mathematics, Chemistry, & Biology with interactive 3D model explanations and solved past papers. 💳 Monthly Pass (₹499/mo): https://rzp.io/l/lasavo-school-monthly Telegram: https://t.me/LasavoSchool #ICSEBoard #Class10ICSE #ExamPrep #SmartLearning",https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_cbse_icse_ai.jpg
Lasavo School,Instagram Reel,School Reel 3,24/7 AI Homework Solver for Class 9 to 12,Stuck on a tough calculus or organic chemistry problem at 11 PM? Snap a photo for step-by-step instant breakdown! 💳 Monthly Pass (₹499/mo): https://rzp.io/l/lasavo-school-monthly Join: https://t.me/LasavoSchool #HomeworkHelp #Class12Physics #Calculus #LasavoSchool,https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_cbse_icse_ai.jpg
Lasavo School,Instagram Reel,School Reel 4,Score 95%+ in CBSE Class 12 Physics & Math,"Learn Newton's laws, electrostatics, and integration with interactive 3D simulation diagrams! 💳 Annual Pass (₹2,999/yr): https://rzp.io/l/lasavo-school-annual Telegram: https://t.me/LasavoSchool #CBSEClass12 #PhysicsExams #MathTutor #EdTech",https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_cbse_icse_ai.jpg
Lasavo School,Instagram Reel,School Reel 5,ICSE English Literature & Commercial Studies Simplified,"Understand Shakespearean plays, poetry analysis, and commercial applications with 15-minute AI summaries. 💳 Monthly Pass (₹499/mo): https://rzp.io/l/lasavo-school-monthly Telegram: https://t.me/LasavoSchool #ICSEEnglish #CommercialStudies #SmartStudent #LasavoSchool",https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_cbse_icse_ai.jpg
Lasavo School,Instagram Reel,School Reel 6,Master Every NCERT Science & Math Chapter,"Line-by-line NCERT textbook explanations, 3D molecular structures, and instant chapter-end solution walkthroughs. 💳 Annual Pass (₹2,999/yr): https://rzp.io/l/lasavo-school-annual Telegram: https://t.me/LasavoSchool #NCERTSolutions #NCERTMath #ScienceClass10 #LasavoSchool",https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_ncert_mastery.jpg
Lasavo School,Instagram Reel,School Reel 7,Instant NCERT Chemistry 3D Reaction Engine,"Visualize organic mechanisms, periodic trends, and chemical bonding in 3D holographic models. 💳 Monthly Pass (₹499/mo): https://rzp.io/l/lasavo-school-monthly Telegram: https://t.me/LasavoSchool #NCERTChemistry #OrganicChemistry #NEETPrep #EdTech",https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_ncert_mastery.jpg
Lasavo School,Instagram Reel,School Reel 8,NCERT Class 6 to 10 Social Science Made Easy,"History maps, geography 3D terrain globes, and civic concepts brought to life with interactive timelines. 💳 Annual Pass (₹2,999/yr): https://rzp.io/l/lasavo-school-annual Telegram: https://t.me/LasavoSchool #NCERTHistory #SocialScience #Class10SST #LasavoSchool",https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_ncert_mastery.jpg
Lasavo School,Instagram Reel,School Reel 9,Step-by-Step Exemplar Math Problem Solver,Master NCERT Exemplar & HOTS (High Order Thinking Skills) questions with personalized AI guidance. 💳 Monthly Pass (₹499/mo): https://rzp.io/l/lasavo-school-monthly Telegram: https://t.me/LasavoSchool #NCERTExemplar #HOTSQuestions #MathGenius #ExamPrep,https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_ncert_mastery.jpg
Lasavo School,Instagram Reel,School Reel 10,NCERT Class 11 & 12 Biology 3D Anatomy Tutor,"Explore human physiology, cell biology, and genetics with 3D rotatable anatomical models. 💳 Annual Pass (₹2,999/yr): https://rzp.io/l/lasavo-school-annual Telegram: https://t.me/LasavoSchool #NCERTBiology #Anatomy3D #NEET2026 #LasavoSchool",https://rzp.io/l/lasavo-school-annual,https://t.me/LasavoSchool,lasavo_school_ncert_mastery.jpg
