"Brand","Platform","Scheduled Date","Caption","Payment Link","Telegram Link","Image Asset"
"Astrolas","Instagram","2026-09-02 09:00","Did you know your name carries a hidden vibrational frequency? 🔮 At Astrolas, we combine ancient Chaldean Numerology with the celestial Lo Shu Grid to reveal your true life path and financial destiny. 💳 Starter Reading (₹499 / $9): https://rzp.io/l/astrolas-starter | Premium Reading (₹1,499 / $25): https://rzp.io/l/astrolas-premium 💬 Comment NUMEROLOGY for direct DM link! #Astrolas #ChaldeanNumerology #LoShuGrid #Astrology","https://rzp.io/l/astrolas-premium","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","2026-09-03 10:00","Discover the secrets written in your palm! ✋✨ Try the Astrolas Hast Rekha Scanner live! Scan your palm with your camera for instant life line, career timing, and relationship analysis. 🎁 Special Palmistry Package: ₹1,499 ($25). 💳 Quick Pay: https://rzp.io/l/astrolas-palmistry 💬 Comment PALM for link! #HastRekha #Palmistry #Astrolas","https://rzp.io/l/astrolas-palmistry","https://t.me/AstrolasCosmic","astrolas_palmistry_scanner.jpg"
"Astrolas","Facebook","2026-09-04 11:30","Have urgent questions about your career, marriage, or financial transit? Don't wait weeks for an appointment! 🌌 Astrolas Astro Assistant is live 24/7. Single Question (₹199 / $3) | Deep Dive Report (₹1,499 / $25). 💳 Pay via Razorpay: https://rzp.io/l/astrolas-deepdive #Astrolas #Numerology","https://rzp.io/l/astrolas-deepdive","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","X (Twitter)","2026-09-05 14:00","🪐 TODAY'S PLANETARY ALIGNMENT: Mercury enters favorable aspect with Jupiter! Fire & Earth signs: Exceptional clarity for career negotiations. Get your birth chart & Chaldean report for ₹499 ($9): https://rzp.io/l/astrolas-starter ✈️ Telegram: https://t.me/AstrolasCosmic","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Instagram Reel","2026-09-06 16:00","Life Path 1, 3, or 8? Your birth date holds the key to your financial alignment! 🌟 Unlock your 20-page Numerology Report for ₹999 ($15). 💳 Razorpay Checkout: https://rzp.io/l/astrolas-lifepath 💬 Comment BIRTHDAY for link! #Numerology #Astrolas","https://rzp.io/l/astrolas-lifepath","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Astrolas","Telegram","2026-09-07 18:00","🌟 DAILY ASTROLAS TELEGRAM TIP: Today's lucky Chaldean numbers are 3, 6, and 9. Auspicious timing for contract signing: 02:15 PM – 04:30 PM. Get your Chaldean report (₹499): https://rzp.io/l/astrolas-starter Web: https://astrolas.netlify.app/#packages","https://rzp.io/l/astrolas-starter","https://t.me/AstrolasCosmic","astrolas_numerology_chart.jpg"
"Lasavo School","Instagram","2026-09-02 10:00","🎓 Education, reimagined for the modern generation. Welcome to Lasavo School, where every student gets an interactive 24/7 Avatar Teacher tailored to their learning speed. 🏷️ Monthly Pass: ₹999 ($15/mo) | Annual Pass: ₹7,999 ($99/yr). 💳 Monthly Pass: https://rzp.io/l/lasavo-student-monthly | Annual Pass: https://rzp.io/l/lasavo-student-annual 💬 Comment CLASS for link! #LasavoSchool #EdTech","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram Reel","2026-09-03 11:30","📊 Stay connected with your child's academic growth every step of the way! The Lasavo School Parent TMS Dashboard gives parents real-time visibility into subject mastery, study time, and quiz scores. 💳 Parent TMS Pass (₹1,499/mo): https://rzp.io/l/lasavo-parent-tms 💬 Comment PARENT for link! #LasavoSchool #Parenting","https://rzp.io/l/lasavo-parent-tms","https://t.me/LasavoSchoolClassroom","lasavo_parent_dashboard.jpg"
"Lasavo School","Facebook","2026-09-04 14:00","Empower your child with interactive STEM modules, 3D science simulations, and coding labs! 🔬💻 Get complete access for just ₹999/month ($15/mo). 💳 Razorpay Direct: https://rzp.io/l/lasavo-student-monthly Web: https://lasavo-school.netlify.app/#pricing #EdTech #STEM","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","X (Twitter)","2026-09-05 16:00","Modern education requires interactive 3D avatars, real-time feedback, and personalized pacing. 💡 Give your child the ultimate interactive classroom: 💳 Annual Subscription (₹7,999 / $99): https://rzp.io/l/lasavo-student-annual ✈️ Telegram: https://t.me/LasavoSchoolClassroom","https://rzp.io/l/lasavo-student-annual","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Instagram","2026-09-06 18:00","Adaptive curriculum pacing for Math, Physics, Coding, and Languages! 🧠 💳 Single Subject Pass: ₹499/mo ($7/mo) | All-Access Pass: ₹999/mo ($15/mo) 💳 Razorpay: https://rzp.io/l/lasavo-student-monthly 💬 Comment CURRICULUM for link! #LasavoSchool","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
"Lasavo School","Telegram","2026-09-07 19:00","📚 LASAVO SCHOOL TELEGRAM ANNOUNCEMENT: Weekly study schedule templates & STEM challenge passes are now available for all members! Enroll your child in the Monthly Pass (₹999/mo): https://rzp.io/l/lasavo-student-monthly Web: https://lasavo-school.netlify.app/#pricing","https://rzp.io/l/lasavo-student-monthly","https://t.me/LasavoSchoolClassroom","lasavo_ai_avatar_teacher.jpg"
